Timestamp,Packet_Length,Proto_TCP,Proto_UDP,Proto_ICMP,TCP_SYN,TCP_ACK,TCP_RST,Packet_Rate_1s
1785760996.762418,40,1,0,0,1,0,0,68.0
1785760996.778094,40,1,0,0,1,0,0,68.0
1785760996.794250,40,1,0,0,1,0,0,68.0
1785760996.810269,40,1,0,0,1,0,0,68.0
1785760996.825787,40,1,0,0,1,0,0,68.0
1785760996.840912,40,1,0,0,1,0,0,68.0
1785760996.856429,40,1,0,0,1,0,0,68.0
1785760996.871511,40,1,0,0,1,0,0,68.0
1785760996.887956,40,1,0,0,1,0,0,68.0
1785760996.903530,40,1,0,0,1,0,0,68.0
1785760996.918605,40,1,0,0,1,0,0,68.0
1785760996.934140,40,1,0,0,1,0,0,68.0
1785760996.949248,40,1,0,0,1,0,0,68.0
1785760996.964627,40,1,0,0,1,0,0,68.0
1785760996.980773,40,1,0,0,1,0,0,68.0
1785760996.996797,40,1,0,0,1,0,0,68.0
1785760997.011605,40,1,0,0,1,0,0,67.0
1785760997.027578,40,1,0,0,1,0,0,67.0
1785760997.029075,40,1,0,0,1,0,0,68.0
1785760997.043161,40,1,0,0,1,0,0,68.0
1785760997.057609,40,1,0,0,1,0,0,68.0
1785760997.073205,40,1,0,0,1,0,0,68.0
1785760997.088912,40,1,0,0,1,0,0,68.0
1785760997.104389,40,1,0,0,1,0,0,68.0
1785760997.119362,40,1,0,0,1,0,0,68.0
1785760997.135043,40,1,0,0,1,0,0,68.0
1785760997.150101,40,1,0,0,1,0,0,68.0
1785760997.165725,40,1,0,0,1,0,0,68.0
1785760997.180743,40,1,0,0,1,0,0,68.0
1785760997.195823,40,1,0,0,1,0,0,68.0
1785760997.196071,40,1,0,0,1,0,0,69.0
1785760997.211248,40,1,0,0,1,0,0,69.0
1785760997.226819,40,1,0,0,1,0,0,69.0
1785760997.241851,40,1,0,0,1,0,0,69.0
1785760997.257885,40,1,0,0,1,0,0,69.0
1785760997.273406,40,1,0,0,1,0,0,68.0
1785760997.288899,40,1,0,0,1,0,0,69.0
1785760997.304497,40,1,0,0,1,0,0,68.0
1785760997.319704,40,1,0,0,1,0,0,69.0
1785760997.335028,40,1,0,0,1,0,0,68.0
1785760997.350517,40,1,0,0,1,0,0,68.0
1785760997.366158,40,1,0,0,1,0,0,68.0
1785760997.381183,40,1,0,0,1,0,0,69.0
1785760997.397054,40,1,0,0,1,0,0,68.0
1785760997.412243,40,1,0,0,1,0,0,68.0
1785760997.427815,40,1,0,0,1,0,0,68.0
1785760997.444021,40,1,0,0,1,0,0,68.0
1785760997.458906,40,1,0,0,1,0,0,68.0
1785760997.474240,40,1,0,0,1,0,0,68.0
1785760997.490170,40,1,0,0,1,0,0,68.0
1785760997.506014,40,1,0,0,1,0,0,68.0
